Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17,specialist
(vertigo) paroymsal positional vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,You should consult an Otolaryngologist (ENT)
achalasia,swallowing_difficulty,regurgitation,chest_pain,weight_loss,night_cough,,,,,,,,,,,,,You should consult a Gastroenterologist
acne,skin_rash,pus_filled_pimples,blackheads,scurring,,,,,,,,,,,,,,You should consult a Dermatologist
acute bronchitis,cough,wheezing,shortness_of_breath,fatigue,low_grade_fever,chest_discomfort,,,,,,,,,,,,You should consult a Pulmonologist
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,You should consult an Infectious Disease Doctor
alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload,,,,,,,,,,,You should consult a Hepatologist
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,You should consult an Allergist
alopecia areata,patchy_hair_loss,exclamation_mark_hairs,itching_at_base,,,,,,,,,,,,,,,You should consult a Dermatologist
alzheimer's disease,memory_loss,confusion,difficulty_planning_or_solving_problems,changes_in_mood_or_personality,,,,,,,,,,,,,,You should consult a Neurologist
anal abscess,pain_in_anal_area,swelling,redness,fever,pus_discharge,discomfort_while_sitting,painful_bowel_movements,,,,,,,,,,,You should consult a Proctologist
anal fissure,pain_during_bowel_movements,blood_on_stool,itching_in_anus,swelling_near_anus,discomfort_sitting,sharp_pain_while_passing_stool,,,,,,,,,,,,You should consult a Proctologist
anaphylaxis,rapid_onset_swelling,breathing_difficulty,low_blood_pressure,hives,weak_pulse,loss_of_consciousness,,,,,,,,,,,,You should consult an Allergist
anemia,fatigue,pale_skin,shortness_of_breath,dizziness,chest_pain,cold_hands_and_feet,headache,irregular_heartbeat,weakness,craving_nonfood_items,brittle_nails,,,,,,,You should consult a Hematologist
